Coloană,Tip,Descriere,,
An,int,Anul de referință.,,
Scenariu,string,"Numele scenariului: Bază, Optimist, Pesimist, Criză.",,
PIB_real_creștere_%,float,Ritm anual al PIB real (%).,,
IPC_EOP_%,float,Inflație la sfârșit de an (%).,,
IPC_medie_anuala_%,float,Inflație medie anuală (%).,,
Șomaj_%,float,Rata șomajului (%).,,
Curs_MDL_pe_USD,float,Curs nominal mediu lei/1 USD.,,
Rata_politica_BNM_%,float,Rata de politică monetară a BNM (%).,,
Remitente_USD_mld,float,Remitențe către persoane fizice (miliarde USD).,,
FX_YoY_%,float,Variația anuală a cursului MDL/USD (%).,,
Remitente_YoY_%,float,Variația anuală a remitențelor (%).,,
Randament_active_%,float,Randamentul mediu al activelor purtătoare (%).,,
Cost_depozite_%,float,Costul mediu al depozitelor (%).,,
NIM_%,float,Marja netă de dobândă (Randament active − Cost depozite) (%).,,
PD_%,float,Probabilitatea de nerambursare anuală (%).,,
LGD_%,float,Pierdere în caz de nerambursare (%).,,
Cost_risc_%,float,Costul riscului (PD × LGD) ca procent din EAD.,,
EA_index,float,Index al activelor purtătoare (bază 100 în 2019).,,
NII_index,float,Index venit net din dobânzi (NIM × EA_index / factor scalare).,,
LLP_index,float,Index cheltuieli cu pierderi din credite (CoR × EA_index / factor scalare).,,
PnL_net_index,float,Index rezultat net (NII_index − LLP_index).,,
