An,Scenariu,Rata_politica_BNM_%,PIB_real_crestere_%,IPC_medie_anuala_%,Somaj_%,Curs_MDL_pe_USD,Remitente_USD_mld,FX_YoY_%,Remitente_YoY_%,Randament_active_%,Cost_depozite_%,NIM_%,PD_%,LGD_%,Cost_risc_%,EA_index,NII_index,LLP_index,PnL_net_index
2019,Baza,6.5,3.6,4.8,1.5,17.6,1.2,0,0,7.9,3.05,4.85,3,35,1.05,102.9,49.9,10.8,39.1
2020,Baza,5.5,-8.3,3.8,1.2,17.3,1.4,-1.7,16.67,7.3,2.02,5.28,4.58,34.97,1.6,96,50.7,15.4,35.4
2021,Baza,2.6,13.9,5.1,0.8,17.7,1.6,2.31,14.29,5.56,0.03,5.53,1.35,34.92,0.47,106.7,59,5,53.9
2022,Baza,20,-4.6,28.7,0.9,18.9,2.1,6.78,31.25,16,11.88,4.12,5.52,35.51,1.96,102.8,42.4,20.1,22.3
2023,Baza,7,1.2,13.4,1.6,18.2,2.3,-3.7,9.52,8.2,3.21,4.99,3.67,35.1,1.29,103.8,51.8,13.4,38.4
2024,Baza,4.25,0.1,4.7,1.4,17.8,2,-2.2,-13.04,6.55,1.74,4.81,3.4,34.95,1.19,103.9,50,12.4,37.7
2025,Baza,3.8,1.5,7.8,,17.6,2.1,-1.12,5,6.28,1.06,5.22,,34.98,,105.1,54.9,,
2019,Criza,10.5,-1.4,10.8,4.5,20.24,0.96,0,0,10.3,5.85,4.45,3,35,1.05,98.9,44,10.4,33.6
2020,Criza,9.5,-13.3,9.8,4.2,19.89,1.12,-1.7,16.67,9.7,4.82,4.88,4.58,34.97,1.6,88.4,43.1,14.1,29
2021,Criza,6.6,8.9,11.1,3.8,20.35,1.28,2.31,14.29,7.96,2.83,5.13,1.35,34.92,0.47,94.7,48.5,4.5,44
2022,Criza,24,-9.6,34.7,3.9,21.73,1.68,6.78,31.25,18.4,14.67,3.73,5.52,35.51,1.96,87.4,32.5,17.1,15.4
2023,Criza,11,-3.8,19.4,4.6,20.93,1.84,-3.7,9.52,10.6,6.01,4.59,3.67,35.1,1.29,84.7,38.9,10.9,28
2024,Criza,8.25,-4.9,10.7,4.4,20.47,1.6,-2.2,-13.04,8.95,4.54,4.41,3.4,34.95,1.19,81.4,35.9,9.7,26.3
2025,Criza,7.8,-3.5,13.8,,20.24,1.68,-1.12,5,8.68,3.86,4.82,,34.98,,79.1,38.1,,
2019,Optimist,5.5,5.6,2.8,1,17.07,1.32,0,0,7.3,2.35,4.95,3,35,1.05,104.5,51.7,11,40.7
2020,Optimist,4.5,-6.3,1.8,0.7,16.78,1.54,-1.7,16.67,6.7,1.32,5.38,4.58,34.97,1.6,99.2,53.4,15.9,37.5
2021,Optimist,1.6,15.9,3.1,0.3,17.17,1.76,2.31,14.29,4.96,0,4.96,1.35,34.92,0.47,111.8,55.5,5.3,50.2
2022,Optimist,19,-2.6,26.7,0.4,18.33,2.31,6.78,31.25,15.4,11.18,4.23,5.52,35.51,1.96,109.5,46.3,21.4,24.8
2023,Optimist,6,3.2,11.4,1.1,17.65,2.53,-3.7,9.52,7.6,2.51,5.09,3.67,35.1,1.29,112.3,57.2,14.5,42.7
2024,Optimist,3.25,2.1,2.7,0.9,17.27,2.2,-2.2,-13.04,5.95,1.04,4.91,3.4,34.95,1.19,114.2,56.1,13.6,42.5
2025,Optimist,2.8,3.5,5.8,,17.07,2.31,-1.12,5,5.68,0.36,5.32,,34.98,,117.4,62.5,,
2019,Pesimist,8,1.6,7.3,2.5,18.83,1.12,0,0,8.8,4.1,4.7,3,35,1.05,101.3,47.6,10.6,37
2020,Pesimist,7,-10.3,6.3,2.2,18.51,1.3,-1.7,16.67,8.2,3.07,5.13,4.58,34.97,1.6,92.9,47.7,14.9,32.8
2021,Pesimist,4.1,11.9,7.6,1.8,18.94,1.49,2.31,14.29,6.46,1.08,5.38,1.35,34.92,0.47,101.8,54.7,4.8,49.9
2022,Pesimist,21.5,-6.6,31.2,1.9,20.22,1.95,6.78,31.25,16.9,12.92,3.97,5.52,35.51,1.96,96.4,38.3,18.9,19.4
2023,Pesimist,8.5,-0.8,15.9,2.6,19.47,2.14,-3.7,9.52,9.1,4.26,4.84,3.67,35.1,1.29,95.8,46.4,12.3,34
2024,Pesimist,5.75,-1.9,7.2,2.4,19.05,1.86,-2.2,-13.04,7.45,2.79,4.66,3.4,34.95,1.19,94.3,44,11.2,32.8
2025,Pesimist,5.3,-0.5,10.3,,18.83,1.95,-1.12,5,7.18,2.11,5.07,,34.98,,94,47.6,,
