An,Scenariu,Rata_politica_BNM_%,PIB_real_crestere_%,IPC_medie_anuala_%,Somaj_%,Curs_MDL_pe_USD,Remitente_USD_mld,FX_YoY_%,Remitente_YoY_%,Randament_active_%,Cost_depozite_%,NIM_%,PD_%,LGD_%,Cost_risc_%,EA_index,NII_index,LLP_index,PnL_net_index
2018,Baza,6.7,3.3,4.5,1.6,17.8,1.18,0,0,7.7,3.1,4.6,2.91,34.91,1.02,101.6,49.3,10.4,38.9
2019,Baza,6.5,3.6,4.8,1.5,17.6,1.2,0,0,7.9,3.05,4.85,3,35,1.05,102.9,49.9,10.8,39.1
2020,Baza,5.5,-8.3,3.8,1.2,17.3,1.4,-1.7,16.67,7.3,2.02,5.28,4.58,34.97,1.6,96,50.7,15.4,35.4
2021,Baza,2.6,13.9,5.1,0.8,17.7,1.6,2.31,14.29,5.56,0.03,5.53,1.35,34.92,0.47,106.7,59,5,53.9
2022,Baza,20,-4.6,28.7,0.9,18.9,2.1,6.78,31.25,16,11.88,4.12,5.52,35.51,1.96,102.8,42.4,20.1,22.3
2023,Baza,7,1.2,13.4,1.6,18.2,2.3,-3.7,9.52,8.2,3.21,4.99,3.67,35.1,1.29,103.8,51.8,13.4,38.4
2024,Baza,4.25,0.1,4.7,1.4,17.8,2,-2.2,-13.04,6.55,1.74,4.81,3.4,34.95,1.19,103.9,50,12.4,37.7
2025,Baza,5.62,-1.71,7.02,1.27,17.56,2.08,-0.99,3.98,7.37,2.52,4.86,3.95,35.18,1.39,107.06,52.01,14.87,37.14
2026,Baza,6.9,0.36,6.57,1.16,17.43,2.32,-2.32,11.38,8.14,3.56,4.58,3.53,35.2,1.24,106.68,48.89,13.26,35.63
2027,Baza,6.15,-5.48,2.87,1.29,17.57,2.09,-1.58,-9.94,7.69,2.61,5.08,4.29,35.15,1.51,103.3,52.51,15.58,36.93
2028,Baza,3.18,-9.06,3.21,0.71,17.57,2.15,-2.54,3.09,5.91,0.79,5.12,4.63,35.1,1.63,108.01,55.31,17.56,37.75
2029,Baza,3.71,-11.02,0.89,0.5,17.47,2.1,-1.16,-2.57,6.23,1.04,5.18,4.8,35.08,1.68,107.35,55.61,18.08,37.53
2030,Baza,3.47,-15.16,0.52,0.52,17.48,2.25,-2.73,7.62,6.08,1.08,5,5.35,35.07,1.88,102.98,51.49,19.31,32.18
2031,Baza,4.87,-13.97,3.36,0.5,17.51,2.01,-3.47,-11.02,6.92,1.69,5.23,5.28,35.13,1.85,106.06,55.51,19.65,35.85
2032,Baza,3.8,-8.41,6.41,0.5,17.42,2.04,-1.75,1.48,6.28,1.19,5.09,4.66,35.14,1.64,103.89,52.88,17.02,35.87
2033,Baza,4,-13.52,2.2,0.77,17.32,2.01,-1.95,-1.29,6.4,1.27,5.13,5.29,35.1,1.86,103.3,52.95,19.18,33.77
2034,Baza,6.27,-14.79,3.78,1.26,17.45,1.78,-1.35,-11.67,7.76,2.65,5.11,5.73,35.16,2.02,100.68,51.41,20.29,31.12
2035,Baza,8.42,-10.01,4.58,1.88,17.72,2.07,-0.56,16.54,9.05,4.73,4.33,5.27,35.21,1.86,99.32,42.97,18.44,24.53
2036,Baza,6.2,-8.93,4.96,2.21,17.69,2.25,1.56,8.76,7.72,3.01,4.71,5.31,35.17,1.87,101.98,47.98,19.06,28.92
2037,Baza,6.28,-8.48,1.98,2.18,17.64,2.36,1.83,4.74,7.77,2.99,4.78,5.1,35.15,1.79,100.02,47.78,17.91,29.87
