An,Scenariu,Rata_politica_BNM_%,PIB_real_crestere_%,IPC_medie_anuala_%,Somaj_%,Curs_MDL_pe_USD,Remitente_USD_mld,FX_YoY_%,Remitente_YoY_%,Randament_active_%,Cost_depozite_%,NIM_%,PD_%,LGD_%,Cost_risc_%,EA_index,NII_index,LLP_index,PnL_net_index
2018,Criza,6.5,-1.4,2.8,1.5,17.6,0.77,0,0,10,5.7,4.3,3,35,1.05,95,42.5,9.98,32.5
2019,Criza,10.5,-1.4,10.8,4.5,20.24,0.96,0,0,10.3,5.85,4.45,3,35,1.05,98.9,44,10.4,33.6
2020,Criza,9.5,-13.3,9.8,4.2,19.89,1.12,-1.7,16.67,9.7,4.82,4.88,4.58,34.97,1.6,88.4,43.1,14.1,29
2021,Criza,6.6,8.9,11.1,3.8,20.35,1.28,2.31,14.29,7.96,2.83,5.13,1.35,34.92,0.47,94.7,48.5,4.5,44
2022,Criza,24,-9.6,34.7,3.9,21.73,1.68,6.78,31.25,18.4,14.67,3.73,5.52,35.51,1.96,87.4,32.5,17.1,15.4
2023,Criza,11,-3.8,19.4,4.6,20.93,1.84,-3.7,9.52,10.6,6.01,4.59,3.67,35.1,1.29,84.7,38.9,10.9,28
2024,Criza,8.25,-4.9,10.7,4.4,20.47,1.6,-2.2,-13.04,8.95,4.54,4.41,3.4,34.95,1.19,81.4,35.9,9.7,26.3
2025,Criza,9.62,-6.71,13.02,4.27,20.23,1.68,-0.99,4.97,9.77,5.34,4.44,5.9,35.32,2.08,84.52,37.51,17.61,19.9
2026,Criza,10.9,-4.64,12.57,4.16,20.1,1.92,-2.32,14.09,10.54,6.41,4.13,5.48,35.34,1.94,84.1,34.72,16.29,18.43
2027,Criza,10.15,-10.48,8.87,4.29,20.24,1.69,-1.58,-12.01,10.09,5.37,4.72,6.24,35.29,2.2,80.68,38.12,17.77,20.35
2028,Criza,7.18,-14.06,9.21,3.71,20.24,1.75,-2.54,3.82,8.31,3.6,4.71,6.58,35.24,2.32,85.35,40.16,19.79,20.37
2029,Criza,7.71,-16.02,6.89,3.08,20.14,1.7,-1.16,-3.16,8.63,3.83,4.79,6.62,35.22,2.33,84.65,40.57,19.75,20.82
2030,Criza,7.47,-20.16,6.52,3.1,20.15,1.85,-2.73,9.41,8.48,3.92,4.56,7.17,35.21,2.52,80.24,36.62,20.26,16.36
2031,Criza,8.87,-18.97,9.36,2.41,20.18,1.61,-3.47,-13.39,9.32,4.44,4.88,6.9,35.27,2.43,83.28,40.65,20.26,20.39
2032,Criza,7.8,-13.41,12.41,1.92,20.09,1.64,-1.75,1.85,8.68,4,4.68,6.14,35.28,2.17,81.07,37.96,17.55,20.41
2033,Criza,8,-18.52,8.2,2.19,19.99,1.61,-1.95,-1.6,8.8,4.07,4.73,6.77,35.24,2.38,80.44,38.07,19.18,18.89
2034,Criza,10.27,-19.79,9.78,2.68,20.12,1.38,-1.35,-14.58,10.16,5.39,4.76,7.21,35.3,2.54,77.78,37.06,19.79,17.27
2035,Criza,12.42,-15.01,10.58,3.3,20.39,1.67,-0.56,21.35,11.45,7.62,3.83,6.75,35.35,2.39,76.38,29.26,18.22,11.04
2036,Criza,10.2,-13.93,10.96,3.63,20.36,1.85,1.56,10.86,10.12,5.86,4.26,6.79,35.31,2.4,79,33.68,18.94,14.74
2037,Criza,10.28,-13.48,7.98,3.59,20.31,1.96,1.83,5.77,10.17,5.81,4.36,6.57,35.29,2.32,77,33.55,17.85,15.69
