An,Scenariu,Rata_politica_BNM_%,PIB_real_crestere_%,IPC_medie_anuala_%,Somaj_%,Curs_MDL_pe_USD,Remitente_USD_mld,FX_YoY_%,Remitente_YoY_%,Randament_active_%,Cost_depozite_%,NIM_%,PD_%,LGD_%,Cost_risc_%,EA_index,NII_index,LLP_index,PnL_net_index
2018,Optimist,5.25,3.6,0.7,0.5,16.71,1.19,0,0,7.2,2.26,4.94,2.91,34.91,1.02,112,54,11.4,42.6
2019,Optimist,5.5,5.6,2.8,1,17.07,1.32,0,0,7.3,2.35,4.95,3,35,1.05,104.5,51.7,11,40.7
2020,Optimist,4.5,-6.3,1.8,0.7,16.78,1.54,-1.7,16.67,6.7,1.32,5.38,4.58,34.97,1.6,99.2,53.4,15.9,37.5
2021,Optimist,1.6,15.9,3.1,0.3,17.17,1.76,2.31,14.29,4.96,0,4.96,1.35,34.92,0.47,111.8,55.5,5.3,50.2
2022,Optimist,19,-2.6,26.7,0.4,18.33,2.31,6.78,31.25,15.4,11.18,4.23,5.52,35.51,1.96,109.5,46.3,21.4,24.8
2023,Optimist,6,3.2,11.4,1.1,17.65,2.53,-3.7,9.52,7.6,2.51,5.09,3.67,35.1,1.29,112.3,57.2,14.5,42.7
2024,Optimist,3.25,2.1,2.7,0.9,17.27,2.2,-2.2,-13.04,5.95,1.04,4.91,3.4,34.95,1.19,114.2,56.1,13.6,42.5
2025,Optimist,4.62,0.29,5.02,0.77,17.03,2.28,-0.99,3.62,6.77,1.81,4.97,3.4,35.14,1.19,117.37,58.28,14.02,44.26
2026,Optimist,5.9,2.36,4.57,0.66,16.9,2.52,-2.32,10.38,7.54,2.84,4.7,2.98,35.16,1.05,117.02,55.03,12.27,42.76
2027,Optimist,5.15,-3.48,0.87,0.79,17.04,2.29,-1.58,-9.15,7.09,1.92,5.17,3.74,35.11,1.31,113.65,58.73,14.93,43.8
2028,Optimist,2.18,-7.06,1.21,0.5,17.04,2.35,-2.54,2.82,5.31,0.08,5.23,4.17,35.06,1.46,118.37,61.86,17.3,44.56
2029,Optimist,2.71,-9.02,-1.11,0.5,16.94,2.3,-1.16,-2.35,5.63,0.35,5.28,4.4,35.04,1.54,117.73,62.12,18.15,43.96
2030,Optimist,2.47,-13.16,-1.48,0.52,16.95,2.45,-2.73,6.95,5.48,0.37,5.11,4.95,35.03,1.73,113.38,57.98,19.65,38.33
2031,Optimist,3.87,-11.97,1.36,0.5,16.98,2.21,-3.47,-10.12,6.32,1,5.32,4.88,35.09,1.71,116.47,61.91,19.92,41.99
2032,Optimist,2.8,-6.41,4.41,0.5,16.89,2.24,-1.75,1.35,5.68,0.49,5.19,4.26,35.1,1.5,114.31,59.37,17.1,42.27
2033,Optimist,3,-11.52,0.2,0.77,16.79,2.21,-1.95,-1.17,5.8,0.58,5.22,4.89,35.06,1.71,113.75,59.42,19.5,39.91
2034,Optimist,5.27,-12.79,1.78,1.26,16.92,1.98,-1.35,-10.62,7.16,1.97,5.19,5.33,35.12,1.87,111.14,57.63,20.81,36.82
2035,Optimist,7.42,-8.01,2.58,1.88,17.19,2.27,-0.56,14.86,8.45,3.99,4.46,4.87,35.17,1.71,109.79,48.97,18.82,30.15
2036,Optimist,5.2,-6.93,2.96,2.21,17.16,2.45,1.56,7.99,7.12,2.3,4.82,4.91,35.13,1.73,112.47,54.22,19.42,34.8
2037,Optimist,5.28,-6.48,-0.02,2.18,17.11,2.56,1.83,4.36,7.17,2.28,4.88,4.7,35.11,1.65,110.53,53.99,18.22,35.77
