An,Scenariu,Rata_politica_BNM_%,PIB_real_crestere_%,IPC_medie_anuala_%,Somaj_%,Curs_MDL_pe_USD,Remitente_USD_mld,FX_YoY_%,Remitente_YoY_%,Randament_active_%,Cost_depozite_%,NIM_%,PD_%,LGD_%,Cost_risc_%,EA_index,NII_index,LLP_index,PnL_net_index
2018,Pesimist,8.5,3.6,4.8,3.5,19.61,1.21,0,0,8.6,3.91,4.69,2.91,34.91,1.02,98,46,10,36
2019,Pesimist,8,1.6,7.3,2.5,18.83,1.12,0,0,8.8,4.1,4.7,3,35,1.05,101.3,47.6,10.6,37
2020,Pesimist,7,-10.3,6.3,2.2,18.51,1.3,-1.7,16.67,8.2,3.07,5.13,4.58,34.97,1.6,92.9,47.7,14.9,32.8
2021,Pesimist,4.1,11.9,7.6,1.8,18.94,1.49,2.31,14.29,6.46,1.08,5.38,1.35,34.92,0.47,101.8,54.7,4.8,49.9
2022,Pesimist,21.5,-6.6,31.2,1.9,20.22,1.95,6.78,31.25,16.9,12.92,3.97,5.52,35.51,1.96,96.4,38.3,18.9,19.4
2023,Pesimist,8.5,-0.8,15.9,2.6,19.47,2.14,-3.7,9.52,9.1,4.26,4.84,3.67,35.1,1.29,95.8,46.4,12.3,34
2024,Pesimist,5.75,-1.9,7.2,2.4,19.05,1.86,-2.2,-13.04,7.45,2.79,4.66,3.4,34.95,1.19,94.3,44,11.2,32.8
2025,Pesimist,7.12,-3.71,9.52,2.27,18.81,1.94,-0.99,4.28,8.27,3.57,4.7,4.67,35.24,1.65,97.44,45.82,16.05,29.77
2026,Pesimist,8.4,-1.64,9.07,2.16,18.68,2.18,-2.32,12.2,9.04,4.62,4.42,4.26,35.26,1.5,97.05,42.86,14.56,28.3
2027,Pesimist,7.65,-7.48,5.37,2.29,18.82,1.95,-1.58,-10.57,8.59,3.65,4.95,5.02,35.21,1.77,93.66,46.32,16.54,29.79
2028,Pesimist,4.68,-11.06,5.71,1.71,18.82,2.01,-2.54,3.31,6.81,1.84,4.97,5.36,35.15,1.88,98.34,48.84,18.52,30.32
2029,Pesimist,5.21,-13.02,3.39,1.08,18.72,1.96,-1.16,-2.75,7.13,2.09,5.03,5.4,35.14,1.9,97.67,49.17,18.53,30.64
2030,Pesimist,4.97,-17.16,3.02,1.1,18.73,2.11,-2.73,8.16,6.98,2.14,4.84,5.95,35.13,2.09,93.29,45.14,19.48,25.66
2031,Pesimist,6.37,-15.97,5.86,0.5,18.76,1.87,-3.47,-11.75,7.82,2.72,5.1,5.7,35.19,2.01,96.34,49.12,19.32,29.8
2032,Pesimist,5.3,-10.41,8.91,0.5,18.67,1.9,-1.75,1.59,7.18,2.24,4.94,5.09,35.2,1.79,94.16,46.5,16.86,29.64
2033,Pesimist,5.5,-15.52,4.7,0.77,18.57,1.87,-1.95,-1.38,7.3,2.32,4.98,5.72,35.16,2.01,93.56,46.57,18.8,27.77
2034,Pesimist,7.77,-16.79,6.28,1.26,18.7,1.64,-1.35,-12.55,8.66,3.68,4.97,6.16,35.22,2.17,90.92,45.23,19.71,25.51
2035,Pesimist,9.92,-12.01,7.08,1.88,18.97,1.93,-0.56,17.96,9.95,5.81,4.15,5.7,35.27,2.01,89.54,37.15,17.99,19.15
2036,Pesimist,7.7,-10.93,7.46,2.21,18.94,2.11,1.56,9.4,8.62,4.08,4.54,5.74,35.23,2.02,92.18,41.87,18.64,23.24
2037,Pesimist,7.78,-10.48,4.48,2.18,18.89,2.22,1.83,5.06,8.67,4.05,4.62,5.52,35.2,1.94,90.21,41.68,17.53,24.15
