An,Scenariu,EA_index,NIM_%,PD_%,LGD_%,Cost_risc_%,NII_index,LLP_index,PnL_net_index
2019,Bază,102.9,4.85,3,35,1.05,49.9,10.8,39.1
2020,Bază,96,5.28,4.58,34.97,1.6,50.7,15.4,35.4
2021,Bază,106.7,5.53,1.35,34.92,0.47,59,5,53.9
2022,Bază,102.8,4.12,5.52,35.51,1.96,42.4,20.1,22.3
2023,Bază,103.8,4.99,3.67,35.1,1.29,51.8,13.4,38.4
2024,Bază,103.9,4.81,3.4,34.95,1.19,50,12.4,37.7
2025,Bază,105.1,5.22,,34.98,,54.9,,
2019,Criză,98.9,4.45,3,35,1.05,44,10.4,33.6
2020,Criză,88.4,4.88,4.58,34.97,1.6,43.1,14.1,29
2021,Criză,94.7,5.13,1.35,34.92,0.47,48.5,4.5,44
2022,Criză,87.4,3.73,5.52,35.51,1.96,32.5,17.1,15.4
2023,Criză,84.7,4.59,3.67,35.1,1.29,38.9,10.9,28
2024,Criză,81.4,4.41,3.4,34.95,1.19,35.9,9.7,26.3
2025,Criză,79.1,4.82,,34.98,,38.1,,
2019,Optimist,104.5,4.95,3,35,1.05,51.7,11,40.7
2020,Optimist,99.2,5.38,4.58,34.97,1.6,53.4,15.9,37.5
2021,Optimist,111.8,4.96,1.35,34.92,0.47,55.5,5.3,50.2
2022,Optimist,109.5,4.23,5.52,35.51,1.96,46.3,21.4,24.8
2023,Optimist,112.3,5.09,3.67,35.1,1.29,57.2,14.5,42.7
2024,Optimist,114.2,4.91,3.4,34.95,1.19,56.1,13.6,42.5
2025,Optimist,117.4,5.32,,34.98,,62.5,,
2019,Pesimist,101.3,4.7,3,35,1.05,47.6,10.6,37
2020,Pesimist,92.9,5.13,4.58,34.97,1.6,47.7,14.9,32.8
2021,Pesimist,101.8,5.38,1.35,34.92,0.47,54.7,4.8,49.9
2022,Pesimist,96.4,3.97,5.52,35.51,1.96,38.3,18.9,19.4
2023,Pesimist,95.8,4.84,3.67,35.1,1.29,46.4,12.3,34
2024,Pesimist,94.3,4.66,3.4,34.95,1.19,44,11.2,32.8
2025,Pesimist,94,5.07,,34.98,,47.6,,
