Parametru,Valoare,Descriere,,
alpha_passthrough_activ,0.6,Proporția în care rata BNM se transmite în randamentul activelor (credite).,,
beta_passthrough_depozite,0.7,Proporția în care rata BNM se transmite în costul depozitelor.,,
spread_structural_activ_pp,4,Marjă structurală (pp) peste rata BNM la active.,,
spread_structural_depozite_pp,-1.5,Marjă structurală (pp) față de rata BNM la depozite (poate fi negativă).,,
gamma_dep_remit_pp_perc,0.02,Ajustare pp a costului depozitelor per 1% creștere/remitere YoY (scade costul la creștere remitențe).,,
nivel_PD_baza_%,3,PD anual de bază (%).,,
sens_PD_PIB_pp_perc,-0.15,Variația PD (pp) la 1 pp schimbare în creșterea PIB.,,
sens_PD_IPC_pp_perc,0.05,Variația PD (pp) la 1 pp schimbare în inflația medie anuală.,,
sens_PD_SOMAJ_pp_perc,0.3,Variația PD (pp) la 1 pp schimbare în șomaj.,,
sens_PD_FX_pp_percY,0.04,Variația PD (pp) la 1% depreciere YoY a MDL/USD.,,
lim_PD_min_%,0.2,Limită inferioară PD (%).,,
lim_PD_max_%,12,Limită superioară PD (%).,,
nivel_LGD_baza_%,35,LGD de bază (%).,,
sens_LGD_rate_pp_perc,0.02,Variația LGD (pp) la 1 pp schimbare în rata BNM.,,
sens_LGD_IPC_pp_perc,0.01,Variația LGD (pp) la 1 pp schimbare în inflația medie anuală.,,
lim_LGD_min_%,20,Limită inferioară LGD (%).,,
lim_LGD_max_%,70,Limită superioară LGD (%).,,
EA_index_start_2019,100,Index active purtătoare de dobândă în 2019 (bază=100).,,
gamma_cres_EA_perc_of_PIB,0.8,Pondere din creșterea PIB care se reflectă în creșterea activelor purtătoare.,,
