An,Scenariu,PIB_real_creștere_%,IPC_EOP_%,IPC_medie_anuala_%,Șomaj_%,Curs_MDL_pe_USD,Deficit_bugetar_%PIB,Datorie_publică_%PIB,Rata_politica_BNM_%,Remitente_USD_mld
2019,Bază,3.6,7.7,4.8,1.5,17.6,-1.5,25.4,6.5,1.2
2020,Bază,-8.3,0.5,3.8,1.2,17.3,-5.3,34,5.5,1.4
2021,Bază,13.9,14.1,5.1,0.8,17.7,-1.9,32.1,2.6,1.6
2022,Bază,-4.6,30.4,28.7,0.9,18.9,-3.2,34.5,20,2.1
2023,Bază,1.2,4.3,13.4,1.6,18.2,-5.1,34.3,7,2.3
2024,Bază,0.1,7,4.7,1.4,17.8,-3.9,37.5,4.25,2
2025,Bază,1.5,7.3,7.8,,17.6,-4.4,40,3.8,2.1
2019,Optimist,5.6,5.7,2.8,1,17.072,-0.5,24.4,5.5,1.32
2020,Optimist,-6.3,-1.5,1.8,0.7,16.781,-4.3,33,4.5,1.54
2021,Optimist,15.9,12.1,3.1,0.3,17.169,-0.9,31.1,1.6,1.76
2022,Optimist,-2.6,28.4,26.7,0.4,18.333,-2.2,33.5,19,2.31
2023,Optimist,3.2,2.3,11.4,1.1,17.654,-4.1,33.3,6,2.53
2024,Optimist,2.1,5,2.7,0.9,17.266,-2.9,36.5,3.25,2.2
2025,Optimist,3.5,5.3,5.8,,17.072,-3.4,39,2.8,2.31
2019,Pesimist,1.6,10.7,7.3,2.5,18.832,-3,27.4,8,1.116
2020,Pesimist,-10.3,3.5,6.3,2.2,18.511,-6.8,36,7,1.302
2021,Pesimist,11.9,17.1,7.6,1.8,18.939,-3.4,34.1,4.1,1.488
2022,Pesimist,-6.6,33.4,31.2,1.9,20.223,-4.7,36.5,21.5,1.953
2023,Pesimist,-0.8,7.3,15.9,2.6,19.474,-6.6,36.3,8.5,2.139
2024,Pesimist,-1.9,10,7.2,2.4,19.046,-5.4,39.5,5.75,1.86
2025,Pesimist,-0.5,10.3,10.3,,18.832,-5.9,42,5.3,1.953
2019,Criză,-1.4,15.7,10.8,4.5,20.24,-5.5,31.4,10.5,0.96
2020,Criză,-13.3,8.5,9.8,4.2,19.895,-9.3,40,9.5,1.12
2021,Criză,8.9,22.1,11.1,3.8,20.355,-5.9,38.1,6.6,1.28
2022,Criză,-9.6,38.4,34.7,3.9,21.735,-7.2,40.5,24,1.68
2023,Criză,-3.8,12.3,19.4,4.6,20.93,-9.1,40.3,11,1.84
2024,Criză,-4.9,15,10.7,4.4,20.47,-7.9,43.5,8.25,1.6
2025,Criză,-3.5,15.3,13.8,,20.24,-8.4,46,7.8,1.68
